gui_no,mode,auto_time,manual_time,el_limit,gui_url,update_time
op0,Manual,10,180,3,172.28.99.10:3000,0
op1,Manual,10,180,3,172.28.99.41:3000,0
op2,Manual,10,180,3,172.28.99.24:3000,0
op3,Manual,10,180,3,172.28.99.39:3000,0
op4,Manual,10,180,3,172.28.99.46:3000,0
op5,Manual,10,180,3,172.28.99.47:3000,0
op6,Manual,10,180,3,172.28.99.201:3000,0
op7,Manual,10,180,3,172.28.99.202:3000,0
op8,Manual,10,180,3,172.28.99.203:3000,0
op9,Manual,10,180,3,172.28.99.204:3000,0
op10,Manual,10,180,3,172.28.102.201:3000,0
op11,Manual,10,180,3,172.28.102.202:3000,0
op12,Manual,10,180,3,172.28.102.203:3000,0
op13,Manual,10,180,3,172.28.102.204:3000,0
op14,Manual,10,180,3,172.28.102.205:3000,0
op15,Manual,10,180,3,172.28.102.206:3000,0
op16,Manual,10,180,3,172.28.102.207:3000,0
op17,Manual,10,180,3,172.28.102.208:3000,0
op18,Manual,10,180,3,172.28.102.209:3000,0
op19,Manual,10,180,3,172.28.102.210:3000,0
